Episode,AgentReward,P1Score,P2Score,P3Score,P4Score
240,32.0,32.0,16,23.0,22.0
241,26,26,19.0,13.0,35.0
242,16,16,23.0,22.0,32.0
243,35.0,35.0,29.0,17,12.0
244,29.0,29.0,19.0,13.0,32
245,35.0,35.0,20.0,32.0,6
246,16,16,22.0,23.0,32.0
247,22.0,22.0,23.0,29,19.0
248,19.0,19.0,13.0,35.0,26
249,19,19,23.0,32.0,19.0
250,32.0,32.0,19.0,20,22.0
251,22.0,22.0,32.0,16,23.0
252,22.0,22.0,22.0,32.0,17
253,9,9,35.0,29.0,20.0
254,16,16,22.0,23.0,32.0
255,19.0,19.0,19,23.0,32.0
256,16,16,22.0,23.0,32.0
257,32.0,32.0,17,22.0,22.0
258,6,6,26.0,32.0,29.0
259,32.0,32.0,19.0,23.0,19
260,22.0,22.0,19,32.0,20.0
261,9.0,9.0,32,20.0,32.0
262,32,32,19.0,32.0,10.0
263,29.0,29.0,6,26.0,32.0
264,19.0,19.0,32.0,7,35.0
265,35.0,35.0,20.0,29,9.0
266,9.0,9.0,32,20.0,32.0
267,22.0,22.0,29,20.0,22.0
268,9.0,9.0,26.0,29,29.0
269,29,29,19.0,23.0,22.0
270,6,6,35.0,20.0,32.0
271,19.0,19.0,19,23.0,32.0
272,19.0,19.0,13.0,35.0,26
273,29.0,29.0,16,13.0,35.0
274,22.0,22.0,29,20.0,22.0
275,16,16,13.0,35.0,29.0
276,16,16,23.0,22.0,32.0
277,6,6,26.0,32.0,29.0
278,16,16,22.0,23.0,32.0
279,22.0,22.0,23.0,29,19.0
280,22.0,22.0,23.0,32.0,16
281,19.0,19.0,19,23.0,32.0
282,32.0,32.0,10.0,35.0,16
283,19.0,19.0,19,23.0,32.0
284,16,16,23.0,22.0,32.0
285,6,6,35.0,20.0,32.0
286,32.0,32.0,20.0,19,22.0
287,16,16,22.0,23.0,32.0
288,19.0,19.0,29,10.0,35.0
289,16,16,22.0,23.0,32.0
290,22.0,22.0,23.0,29,19.0
291,16,16,32.0,10.0,35.0
292,35.0,35.0,17,32.0,9.0
293,32,32,20.0,32.0,9.0
294,19.0,19.0,22.0,20,32.0
295,19.0,19.0,13.0,32,29.0
296,29.0,29.0,6,26.0,32.0
297,32.0,32.0,16,23.0,22.0
298,6,6,35.0,20.0,32.0
299,6,6,26.0,32.0,29.0
300,9.0,9.0,35.0,17,32.0
301,35.0,35.0,29.0,17,12.0
302,22.0,22.0,23.0,29,19.0
303,29.0,29.0,19.0,10,35.0
304,29.0,29.0,20.0,9,35.0
305,32.0,32.0,16,23.0,22.0
306,32.0,32.0,20.0,22.0,19
307,19.0,19.0,22.0,23.0,29
308,22.0,22.0,32.0,20.0,19
309,19,19,32.0,20.0,22.0
310,29,29,29.0,10.0,25.0
311,32.0,32.0,19.0,20,22.0
312,32.0,32.0,17,22.0,22.0
313,6,6,35.0,20.0,32.0
314,32.0,32.0,20.0,22.0,19
315,22.0,22.0,29,20.0,22.0
316,9.0,9.0,26.0,32.0,26
317,16,16,22.0,23.0,32.0
318,29,29,19.0,23.0,22.0
319,19.0,19.0,29,10.0,35.0
320,29.0,29.0,19.0,13.0,32
321,32.0,32.0,16,23.0,22.0
322,9.0,9.0,32,20.0,32.0
323,19.0,19.0,22.0,20,32.0
324,32,32,20.0,32.0,9.0
325,22.0,22.0,32.0,20.0,19
326,9.0,9.0,35.0,17,32.0
327,29.0,29.0,19.0,10,35.0
328,32.0,32.0,16,23.0,22.0
329,19.0,19.0,22.0,23.0,29
330,19.0,19.0,22.0,23.0,29
331,29.0,29.0,9.0,26.0,29
332,35.0,35.0,20.0,29,9.0
